Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Wild as Her,Corey Kent,Wild as Her,2023,199733,4,0.504,0.736,0,-6.079,1,0.0352,0.00216,0,0.129,0.46,148.014,61
Here With Me,d4vd,Petals to Thorns,2022,242484,4,0.575,0.45,4,-9.306,1,0.0259,0.531,0.0000659,0.124,0.263,132.039,84
Once More,d4vd,The Lost Petals,2022,121695,4,0.672,0.253,9,-12.71,0,0.0395,0.864,0,0.0787,0.409,76.481,60
Romantic Homicide,d4vd,Romantic Homicide,2022,132630,4,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,86
Sleep Well,d4vd,Petals to Thorns,2023,175875,3,0.37,0.358,8,-10.633,1,0.0317,0.799,0.00000708,0.142,0.186,147.581,74
There Goes My Baby,d4vd,There Goes My Baby,2023,210666,3,0.531,0.307,1,-8.92,1,0.0316,0.852,0.00000825,0.157,0.25,118.652,69
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen (Deluxe),2015,192560,4,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,62
Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,David Guetta,Pop Life,2008,199386,4,0.773,0.813,4,-4.609,0,0.0797,0.0331,0.0000377,0.192,0.707,127.93,62
Memories (feat. Kid Cudi),David Guetta,One Love (Deluxe),2009,210093,4,0.561,0.87,8,-6.103,1,0.343,0.0015,0.00000282,0.246,0.498,129.98,67
Play Hard (feat. Ne-Yo & Akon),David Guetta,Nothing but the Beat 2.0,2012,201000,4,0.691,0.921,8,-1.702,0,0.0535,0.174,0,0.331,0.802,130.072,62
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,Nothing but the Beat 2.0,2012,222500,4,0.491,0.857,7,-2.634,1,0.0656,0.0834,0.00000757,0.344,0.395,129.971,49
Titanium (feat. Sia),David Guetta,Nothing but the Beat,2011,245040,4,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,56
